Country,BP_Start,BP_End,BP_Slope,BP_Curvature,Obesity_Start,Obesity_End,Obesity_Slope,Obesity_Curvature,Diabetes_Start,Diabetes_End,Diabetes_Slope,Diabetes_Curvature,Cluster,Cluster_Name,Country_Code,Continent,UHC_End,Gini_Index,Gini_Year,Income_Group,WHO_Region,Income_Group_Ordinal,BP_Residual,BP_Predicted_By_Obesity
Fiji,24.12778445999844,21.878960194108764,-0.0691903753296913,-0.0433294893111346,12.493577416265987,28.76403426118601,0.5512320398593069,0.0982623542576653,9.534357816774888,16.66397449298228,0.2420440632197712,0.2087115092256221,0,Moderate Transition,FJI,Oceania,67.0,30.7,2019.0,Upper middle income,Western Pacific,3.0,-1.850441267130165,23.72940146123893
Finland,35.862021037379634,20.72028742302091,-0.5202906379037483,-0.1391434377379349,9.442097352150544,21.48163602420882,0.4031650935276182,-0.0435344545649701,5.057528218986495,5.396046265627396,0.0108884682948768,-0.0577931581858153,2,Wealthy Decouplers,FIN,Europe,83.6,27.4,2023.0,High income,Europe,4.0,-3.837491598196177,24.557779021217087
France,38.54432477170185,23.7376998272143,-0.491692490039393,-0.0787243099950337,10.862613607884809,20.85348753633853,0.3356184838972256,0.0761621641518555,4.967951292811168,5.883713621705178,0.0324564270284182,0.0021550903562407,2,Wealthy Decouplers,FRA,Europe,81.0,31.8,2023.0,High income,Europe,4.0,-0.891531495120276,24.629231322334576
French Polynesia,32.29374836934561,26.36754091550552,-0.1952241512867024,0.2039930394214915,34.02088200293919,50.74094981965976,0.5538751525689517,0.0100451606796839,11.545037059955462,20.3832488140686,0.2976162402254186,-0.1442776092032047,1,Pacific Extreme Outliers,PYF,Oceania,,,,High income,,4.0,5.138027965407833,21.229512950097686
Gabon,33.05350081400053,26.37602702668081,-0.2545117275225895,-0.3610795351365137,3.429305799595073,14.04987387175494,0.3573860216884763,0.059407026717054,4.126352052542499,9.64285517167718,0.1878955804089719,-0.0004631753691307,4,Lean Hypertension / Low-Obesity Rising-BP,GAB,Africa,53.2,38.0,2017.0,Upper middle income,Africa,3.0,0.972880202460523,25.403146824220286
Gambia,30.729494519292317,29.89485983223971,-0.0362249005766941,-0.3438924447899963,1.6535529884920592,9.08137579488576,0.2480271180941643,0.1619921746525393,3.370187098559452,8.240581558496618,0.164324057551705,0.0714456386994506,4,Lean Hypertension / Low-Obesity Rising-BP,GMB,Africa,52.0,38.8,2020.0,Low income,Africa,1.0,3.9265431038558916,25.96831672838382
Georgia,29.50494568962946,26.23726994070604,-0.1153148846797753,0.1921564781716998,8.357346519952205,19.810436784883574,0.3717705246797949,0.152448796845604,5.762120509031494,11.818491491186329,0.1910486928593272,0.2175804961058503,0,Moderate Transition,GEO,Asia,69.4,33.9,2024.0,Lower middle income,Europe,2.0,1.4893909135485686,24.74787902715747
Germany,38.52260387212488,21.49904162455967,-0.5943418666343928,-0.2282715438586477,10.82201226594712,21.481008276200832,0.3579462742364973,0.0621027229186466,4.599932250614929,4.935953611439212,0.0124865974578024,-0.0111396713487664,2,Wealthy Decouplers,DEU,Europe,85.2,33.7,2022.0,High income,Europe,4.0,-3.0588088034036858,24.557850427963356
Ghana,27.80407881061591,24.59071530992268,-0.1094834442125185,-0.2645724390920681,2.2179527007374027,9.550237112646895,0.2464809014872084,0.1502892766047212,3.166771257767447,6.311702343137793,0.1085016709443598,-0.0021748302236239,4,Lean Hypertension / Low-Obesity Rising-BP,GHA,Africa,42.4,43.5,2016.0,Lower middle income,Africa,2.0,-1.3242681370699891,25.914983446992668
Greece,31.108499457774023,20.111820800562946,-0.3767562824022623,-0.0688512552137874,12.549848036085574,24.0276058185262,0.381329113901925,0.0374098007861729,5.493299189721224,6.569395003320861,0.0363581186566066,-0.0051398783416519,2,Wealthy Decouplers,GRC,Europe,73.2,33.4,2023.0,High income,Europe,4.0,-4.156352492243695,24.26817329280664
Greenland,35.79632724743092,21.477146785613108,-0.4828669655416151,-0.075637306428197,10.137957813893689,21.828640974290455,0.3909387970495159,0.0557179618324704,4.91981206052616,5.08455164232642,0.0055444440653928,-0.0279384802374575,2,Wealthy Decouplers,GRL,North America,,,,High income,,4.0,-3.041160195694186,24.518306981307294
